run_id,ts,order_id,client_order_id,side,quantity,price,fee,reference_price,slippage_bps,mode,reason
20260911T045546-771984,2026-09-11T04:55:47.703717+00:00,paper-446b30a7f3c8,ichi-7a6697dd0f7d461da266,buy,0.12100020477772351,37858.971392401916,4.580943291154608,37851.40111217948,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:55:48.460731+00:00,paper-ce7551e72b3c,ichi-8c5beb5e03fc420399f2,sell,0.12100020477772351,38346.07794733363,4.639883284049917,38353.748697073046,2.00000000000089,PAPER_TRADING,signal
20260911T045546-771984,2026-09-11T04:55:48.974391+00:00,paper-46a9d0259a83,ichi-9bfd6dc876c34e2e895d,buy,0.08350023014079218,39032.30909686093,3.2592067925144237,39024.50419602173,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:55:49.724551+00:00,paper-5ff3882f0261,ichi-b99155823107439f8982,sell,0.08350023014079218,41437.651226255635,3.460053413886225,41445.9404143385,1.9999999999997797,PAPER_TRADING,take_profit
20260911T045546-771984,2026-09-11T04:55:53.303516+00:00,paper-543a4ff991c9,ichi-949e1e5ca4674b2fa169,buy,0.14445670327966217,40314.443715441004,5.823691633686102,40306.38243895322,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:55:53.416088+00:00,paper-045e1e078ce6,ichi-39fa95d1468d42bf9ecf,sell,0.14445670327966217,41793.92890559625,6.037413186807013,41802.289363468946,2.00000000000089,PAPER_TRADING,take_profit
20260911T045546-771984,2026-09-11T04:56:09.008211+00:00,paper-164df7f973fc,ichi-a0ca90634184457ab1fc,buy,0.11155945929484257,33328.32651198437,3.718090084878943,33321.66217954846,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:56:09.485682+00:00,paper-de588a828a15,ichi-6a78692b7e59429187af,sell,0.11155945929484257,31966.540759495107,3.56617000265582,31972.93534656442,1.9999999999997797,PAPER_TRADING,stop_loss
20260911T045546-771984,2026-09-11T04:56:17.610131+00:00,paper-7817d81fde3b,ichi-ec92c41c702440a38ce4,buy,0.10672531232096483,29967.742260293446,3.1983166522839945,29961.749910311384,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:56:18.104022+00:00,paper-d34013e1fd1f,ichi-88b94eb33f614d438cd9,sell,0.10672531232096483,28967.407715290836,3.0915556355431404,28973.202355761987,1.9999999999997797,PAPER_TRADING,stop_loss
20260911T045546-771984,2026-09-11T04:56:24.510392+00:00,paper-6f2785396471,ichi-a121a1b963eb41c68061,buy,0.13029362420517848,25295.789108449717,3.295880040069794,25290.730962257265,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:56:24.688783+00:00,paper-801d28378b22,ichi-1222355eba9d4706b26c,sell,0.13029362420517848,25112.101245747934,3.271946682715876,25117.12467068207,2.00000000000089,PAPER_TRADING,signal
20260911T045546-771984,2026-09-11T04:56:24.847823+00:00,paper-6d28538bcf73,ichi-f5c9b81bb10b4707b15f,buy,0.14727930215612495,25527.26640819002,3.759637982551716,25522.16197579486,1.9999999999997797,PAPER_TRADING,entry
20260911T045546-771984,2026-09-11T04:56:24.995093+00:00,paper-1908378a9f49,ichi-0a5821cb57d44bbcac99,sell,0.14727930215612495,24961.951710926005,3.6763788284400714,24966.945099945995,1.9999999999997797,PAPER_TRADING,signal
20260911T045546-771984,2026-09-11T04:56:25.397958+00:00,paper-c0ab7c03b336,ichi-c12ad9979fb048e383e0,buy,0.14157642803035206,25582.63925520481,3.621898685340963,25577.52375045472,1.9999999999997797,PAPER_TRADING,entry
